Display Name    Country Code	Language Code	Identifier (Source-Name)
#Legend	hk	en	hashtag-legend
Loving Paper	nl	nl	loving-paper
Lubricant World	tr	en	lubricant-world
Lucky Martin	it	it	lucky-martin
Lucre com Arte	br	pt	lucre-com-arte
Luftkrig	no	nb	luftkrig
Luftwaffe Over Britain 1939-45	gb	en	luftwaffe-over-britain-1939-45
Lugbraaier	za	af	lugbraaier
Lupita Bokobokids (English)	es	en	lupita-bokobokids-english
Lupita Bokobokids (French)	es	fr	lupita-bokobokids-french
Lupita Bokobokids (Spanish)	es	es	lupita-bokobokids-spanish
Lust auf Genuss	de	de	lust-auf-genuss-9brh
LUX (Portugal)	pt	pt	lux-portugal-447h
Lux Deco	pt	pt	lux-deco-447k
Lux Moda	pt	pt	lux-moda-447l
Lux Woman	pt	pt	lux-woman-447j
LUXE City Guides - Amsterdam	au	en	luxe-city-guides-amsterdam
LUXE City Guides - Bali	au	en	luxe-city-guides-bali
LUXE City Guides - Bangkok	au	en	luxe-city-guides-bangkok
LUXE City Guides - Barcelona	au	en	luxe-city-guides-barcelona
LUXE City Guides - Berlin	au	en	luxe-city-guides-berlin
LUXE City Guides - Cambodia and Laos	au	en	luxe-city-guides-cambodia-and-laos
LUXE City Guides - Chicago	au	en	luxe-city-guides-chicago
LUXE City Guides - Dubai	au	en	luxe-city-guides-dubai
LUXE City Guides - Florence	au	en	luxe-city-guides-florence
LUXE City Guides - Hanoi	au	en	luxe-city-guides-hanoi
LUXE City Guides - Ho Chi Minh City	au	en	luxe-city-guides-ho-chi-minh-city
LUXE City Guides - Hong Kong	hk	en	luxe-city-guides-hong-kong
LUXE City Guides - Istanbul	au	en	luxe-city-guides-istanbul
LUXE City Guides - Kuala Lumpur	au	en	luxe-city-guides-kuala-lumpur
LUXE City Guides - London	au	en	luxe-city-guides-london
LUXE City Guides - Los Angeles	au	en	luxe-city-guides-los-angeles
LUXE City Guides - Melbourne	au	en	luxe-city-guides-melbourne
LUXE City Guides - Miami	au	en	luxe-city-guides-miami
LUXE City Guides - Milan	au	en	luxe-city-guides-milan
LUXE City Guides - New York	au	en	luxe-city-guides-new-york
LUXE City Guides - Paris	au	en	luxe-city-guides-paris
LUXE City Guides - Rio de Janeiro	br	en	luxe-city-guides-rio-de-janeiro
LUXE City Guides - Rome	au	en	luxe-city-guides-rome
LUXE City Guides - Seoul	au	en	luxe-city-guides-seoul
LUXE City Guides - Shanghai	au	en	luxe-city-guides-shanghai
LUXE City Guides - Singapore	au	en	luxe-city-guides-singapore
LUXE City Guides - Sydney	au	en	luxe-city-guides-sydney
LUXE City Guides - Tokyo	au	en	luxe-city-guides-tokyo
LUXE City Guides - Venice	au	en	luxe-city-guides-venice
Luxe Gulf	ae	en	luxe-gulf-uae-339w
Luxe Infinity Lifestyle	fr	fr	luxe-infinity-lifestyle-222f
Luxe Infinity Voyage	fr	fr	luxe-infinity-voyage-222d
Luxe Living Asia	hk	en	luxe-living-asia
Luxembourg Times Magazine	lu	en	luxembourg-times-magazine
Luxemburger Wort	lu	de	luxemburger-wort
Luxury Pools + Outdoor Living	us	en	luxury-pools-magazine
Luxury Travel	au	en	luxury-travel-22m6
Luxury Traveling	es	es	luxury-traveling
Luxury Wedding and Style	us	en	luxury-wedding-and-style
Løping for alle	no	nb	loping-for-alle
L’écho du Tarn	fr	fr	l-echo-du-tarn
L’essentiel de L’auto	fr	fr	l-essentiel-de-l-auto-22dc
L’essentiel du drone	fr	fr	l-essentiel-du-drone-22dd
M Style	es	en	m-style
Ma Campagne	fr	fr	ma-campagne-9bp6
Maalaimalar	in	ta	maalaimalar-9bkb
Maariv	il	he	maariv258p
Maarten!	nl	nl	maarten
Mac Format	gb	en	mac-format
Mac Life	de	de	mac-life-34d1
Mac Life Wissen	de	de	mac-life-wissen
Macau Daily Times	mo	en	macau-daily-times
MacBIBEL	de	de	mac-bibel
Macclesfield Express	gb	en	macclesfield-express
Mach es Selbst	de	de	mach-es-selbst
Machin Chose	fr	fr	machin-chose
Mackay and Whitsundays Wedding Guide	au	en	mackay-and-whitsundays-wedding-guide
Mackay Daily Mercury	au	en	mackay-daily-mercury1
Maclean's	ca	en	macleans
Macwelt Special	de	de	macwelt-special
Macworld	gb	en	macworld1r
Macworld (USA)	us	en	macworld-usa
Mac|Life	gb	en	mac-life
Madame	de	de	madame-9ys4
Madame Figaro	fr	fr	madame-figaro
Madencilik Türkiye Dergisi	tr	tr	madencilik-turkiye-dergisi
Madeni Yağ Dünyası	tr	tr	madeni-yag-dunyasi
Maeil Business Newspaper	kr	ko	maeil-business-newspaper
Maffia	se	sv	9kj5
Mafia	no	nb	mafia
Mag- och tarmhälsa	se	sv	mag-och-tarmhalsa
Magasinet LIV	dk	da	magasinet-liv
Magazine générations (Suisse)	ch	fr	generations-switzerland-9wvr
Magazine KULT	cz	cs	magazine-kult
Magazine M	fr	fr	magazine-m
Magazine Media Fact Book 2020	gb	en	magazine-media-fact-book-2020
Magicmaman	fr	fr	magicmaman
Magicmaman Hors-série	fr	fr	magicmaman-hors-serie
Magie di Carta	it	it	magie-di-carta
Magisk	no	nb	magisk
Magisk Jul	se	sv	magisk-jul
Magnolia Journal	us	en	magnolia-journal
Magnum Tactical Guide	za	en	magnum-tactical-guide
Magzoid	ae	en	magzoid
Maidenhead Advertiser	gb	en	maidenhead-advertiser
Mail & Guardian	za	en	mail-guardian
Mailmaan historian käännekohtia	fi	fi	mailmaan-historian-kaannekohtia
Mais Influente Business	br	pt	mais-influente-business-9y34
Mais Influente Homem	br	pt	mais-influente-homem
Mais Rio de Janeiro	br	pt	mais-rio-e-mais-sampa-9yzh
Mais Sampa	br	pt	mais-sampa-9y2a
Maison & Demeure	ca	fr	maison-and-demeure
Maison & Jardin Magazine	fr	fr	maison-et-jardin-magazine
Maison & Travaux	fr	fr	maison-travaux-2954
Maison & Travaux PRO	fr	fr	maison-travaux-pro
Maison Chic	it	fr	maison-chic
Maison Chic Hors - Serie H	it	fr	maison-chic-hors-serie-h
Maison Côté Est	fr	fr	maison-cote-est
Maison Côté Ouest	fr	fr	maison-cote-ouest
Maison Côté Sud	fr	fr	maison-cote-sud
Maison Creative	fr	fr	maison-creative
Maison Créative Hors-serie	fr	fr	maison-creative-hors-serie
Maison et jardin chic	it	fr	maison-et-jardin-chic
Maison Française	tr	tr	maison-francaise
Maison Française Banyo Mutfak	tr	tr	maison-francaise-banyo-mutfak-9yw5
Maison Romantique	it	fr	maison-romantique
Maison shabby chic	it	fr	maison-shabby-chic
Maisons Créoles	fr	fr	maisons-creoles
Maisons et art de vivre campagne	it	fr	maisons-et-art-de-vivre-campagne
Maisons Normandie	fr	fr	maisons-normandie
Maison Française Emlak Özel	tr	tr	maison-francaise-emlak-ozel-9y8b
Makam Music	tr	tr	makam-music
Making Cards & Papercraft	gb	en	making-cards-papercraft
Málaga Hoy	es	es	malaga-hoy
Malaysia Tatler Society	my	en	malaysia-tatler-society
Malaysia Tatler Wedding	my	en	malaysia-tatler-wedding
Mallorca Bulletin	es	en	mallorca-bulletin-pr
Mallorca geht aus!	de	de	mallorca-geht-aus
Mallorca im Uberblick	de	de	mallorca-im-uberblick
Mallorca Magazin	es	de	mallorca-magazin-pr
Mallorca Zeitung	es	de	mallorca-zeitung-be
Malta Independent	mt	en	malta-independent
Malu	br	pt	malu
Malvern Daily Record	us	en	malvern-daily-record
Mama Benz	ca	en	mama-benz
Mamá joven	cr	es	mama-joven
Mami	ro	ro	mami-9yp3
Mammoth Times	us	en	mammoth-times
Man (South Africa)	za	en	man-south-africa
Man Magnum	za	en	man-magnum
Man Magnum Hunting & Shooting Guide	za	en	man-magnum-hunting-shooting-guide
Man Magnum Knife and Hunting Guide	za	en	man-magnum-knife-and-hunting-guide
Manawatu Guardian	nz	en	manawatu-guardian
Manawatu Standard	nz	en	manawatu-standard
Manchester Evening News	gb	en	manchester-evening-news
Mandalas	ar	es	mandalas
Manga Cult	it	it	manga-cult
Mani di fata	it	it	mani-di-fata
Mania Pop	it	it	mania-pop
Manicure com Estilo	br	pt	manicure-com-estilo
Manila Bulletin	ph	en	manila-bulletin
Manila Standard	ph	en	manila-standard
Mann Jitt Weekly	gb	pa	mann-jitt-weekly
Manual do Construtor	br	pt	manual-do-construtor
Manufactura	mx	es	manufactura
Manufactura (Paso del Norte)	mx	es	manufactura-paso-del-norte
Manukau and Papakura Courier	nz	en	manukau-and-papakura-courier
MAQUIA（マキア）	jp	ja	maquia
Maradona	se	sv	maradona
Marble Trend	tr	en	marble-trend
Marca Andalucía	es	es	marca-andaluciaef1c
Marca Aragón	es	es	marca-aragonef1d
Marca Bilbao	es	es	marca-bilbaoef1g
Marca Canarias	es	es	marca-canariasef1k
Marca Catalunya	es	es	marca-catalunya
Marca Galicia-Asturias	es	es	marca-galicia-asturiasef1f
Marca Léon	es	es	marca-leonef1h
Marca Levante	es	es	marca-levanteef1l
Marca Madrid	es	es	marca-madridef1m
Marca Mallorca	es	es	marca-mallorcaef1n
Marca País Vasco	es	es	marca-pais-vascoef1p
Marca Sevilla	es	es	marca-sevillaef1q
María Bokobokids (English)	es	en	maria-bokobokids-english
Maria Bokobokids (French)	es	fr	maria-bokobokids-french
Maria Bokobokids(Spanish)	es	es	maria-bokobokids-spanish
Marie Claire	fr	fr	marie-claire
Marie Claire (Arabia)	ae	ar	marie-claire-arabia
Marie Claire (Argentina)	ar	es	marie-claire-argentina
Marie Claire (Lower Gulf)	ae	ar	marie-claire-lower-gulf
Marie Claire (Turkey)	tr	tr	marie-claire-turkey
Marie Claire (Ukraine)	ua	uk	marie-claire-ukraine
Marie Claire Australia	au	en	marie-claire-australia-9ja2
Marie Claire Brasil	br	pt	marie-claire-brasil
Marie Claire Enfants	fr	fr	marie-claire-enfants
Marie Claire España	es	es	marie-claire-espana
Marie Claire Hors-série Food	fr	fr	marie-claire-hors-serie-food
Marie Claire Idées	fr	fr	marie-claire-idees
Marie Claire Italia	it	it	marie-claire-italy
Marie Claire Maison	fr	fr	marie-claire-maison
Marie Claire Maison (Italia)	it	it	marie-claire-maison-italy
Marie Claire Maison - Hors-serie	fr	fr	marie-claire-maison-hors-serie
Marie Claire Man (Turkey)	tr	tr	marie-claire-man
Marie Claire México	mx	es	marie-claire-mexico9ldf
Marie Claire Respirations	fr	fr	marie-claire-respirations
Marie Claire Style	fr	fr	marie-claire-style-f098
Marie Clare Maison (Turkey)	tr	tr	marie-clare-maison-turkey1
Marie France	fr	fr	marie-france
Marietta Daily Journal	us	en	marietta-daily-journal
Marin Independent Journal	us	en	marin-independent-journal
Mario Bokobokids (French)	es	fr	mario-bokobokids-french
Mario Bokobokids (Spanish)	es	es	mario-bokobokids-spanish
Maritzburg Sun (South Africa)	za	en	maritzburg-sun-efcp2
Marketing (France)	fr	fr	e-marketing-france
marketingdirecto.com	es	es	marketingdirecto-com-9vgl
Märkische Oderzeitung (Angermünde)	de	de	9hrz
Märkische Oderzeitung (Bad Freienwalde)	de	de	maerkische-oderzeitung-bad-freienwalde
Märkische Oderzeitung (Beeskow)	de	de	maerkische-oderzeitung-beeskow
Märkische Oderzeitung (Bernau)	de	de	maerkische-oderzeitung-bernau
Märkische Oderzeitung (Eberswalde)	de	de	maerkische-oderzeitung-eberswalde
Märkische Oderzeitung (Eisenhüttenstadt)	de	de	maerkische-oderzeitung-eisenhuettenstadt
Märkische Oderzeitung (Erkner)	de	de	maerkische-oderzeitung-erkner
Märkische Oderzeitung (Fürstenwalde)	de	de	maerkische-oderzeitung-fuerstenwalde
Märkische Oderzeitung (Schwedt)	de	de	maerkische-oderzeitung-schwedt
Märkische Oderzeitung (Seelow)	de	de	maerkische-oderzeitung-seelow
Märkische Oderzeitung (Strausberg)	de	de	maerkische-oderzeitung-strausberg
Märkische Oderzeitung Frankfurt (Oder)	de	de	markische-oderzeitung-frankfurt-oder
Markology	pt	pt	markology-magazine-9wdh
Markology Magazine (English)	pt	en	markology-magazine-english
Markology Magazine (Portuguese)	pt	pt	markology-magazine-9wdh
Markology Magazine (Spanish)	pt	es	markology-magazine-spanish
Marlborough Express	nz	en	marlborough-express
Marlborough Magazine	nz	en	marlborough-magazine-9bk6
Marlborough Weekly	nz	en	marlborough-weekly-9bk4
Marlin	us	en	marlin
Marmiton	fr	fr	marmiton
Marmiton Hors-Série	fr	fr	marmiton-hors-serie
Marrakech Foto-special	nl	nl	marrakech-foto-special
Marshall County Factbook	us	en	marshall-county-factbook
Marshall County Football	us	en	marshall-county-football
Marshall County Football Preview	us	en	marshall-county-football-preview
Marshall County Progress	us	en	marshallcountyprogress
Martha Stewart Weddings (Turkey)	tr	tr	martha-stewart-weddings-turkey
Marysville Appeal-Democrat	us	en	marysville-appeal-democrat
Más Allá	es	es	mas-alla
Más Allá Horóscopo	es	es	mas-alla-horoscopo-connecor
Más Allá Monográfico	es	es	mas-alla-monografico
Más por más	mx	es	mas-por-mas
Mascular Living	gb	en	mascular-living-359u
Mascular Living	hk	en	mascular-living-359u
Masculin	fr	fr	masculin
Massive Bio	us	en	massive-bio
Master Magazine (Italy)	it	it	master-magazine-italy
Mat fra Norge	no	nb	mat-fra-norge
Matamata Chronicle	nz	en	matamata-chronicle
MATCH (UK)	gb	en	match-uk
Match of the Day	gb	en	match-of-the-day
Mate (Germany)	de	de	mate-germany
Matglädje vid Medelhavet	se	sv	matgladje-vid-medelhavet
Matglädje vid Medelhavet	se	sv	matgladje-vid-medelhavet-aftonbladet
Matgleder ved Middelhavet	no	nb	matgleder-ved-middelhavet
Mathematics Today	in	en	mathematics-today
MAX Magazine	id	id	max-magazine-9yq6
Maxi	fr	fr	maxi
Maxi Crucintarsio	it	it	maxi-crucintarsio-9bjm
Maxi Cuisine	fr	fr	maxi-cuisine
Maxi Cuisine Hors-série	fr	fr	maxi-cuisine-hors-serie
Maxi Hors-série	fr	fr	maxi-hors-serie
Maxi Hors-série Astro	fr	fr	maxi-hors-serie-astro
Maxi Hors-série Cuisine	fr	fr	maxi-hors-serie-cuisine
Maxi Puzzle	it	it	maxi-puzzle
Maxim	us	en	maxim
Maxima Brasil	br	pt	maxima-brasil
Maximum PC	gb	en	maximum-pc
Mayan Magazine	mx	en	mayan-magazine
Mayenne Infos	fr	fr	mayenne-infos
MBR Mountain Bike Rider	gb	en	mbr-mountain-bike-rider
McDonald County Press	us	en	mcdonald-county-press
MCG Mantova Chiama Garda	it	it	mcg-mantova-chiama-garda
MCN	gb	en	mcn-uk
MDE	ar	es	mde
MedEdge MEA	ae	en	mededge-mea
Medgate Today	in	en	medgate-today
Medicine Hat News	ca	en	medicine-hat-news
Medicinens Historia	se	sv	medicinens-historia
Medya Tablet	tr	tr	medya-tablet
Meet Abu Dhabi	ae	en	meet-abudhabi-9yqc
MEGA	ph	en	mega-9xw9
Mega Artesanato	br	pt	mega-artesanato
Mega Entertainment	ph	en	mega-entertainment
MEGA MAN	ph	en	mega-man
Meiahora - RJ	br	pt	meiahora-rj
Mein Amerika	us	de	mein-amerika
Mein Job Mein Leben	at	de	mein-job-mein-leben
Mein Landgarten	de	de	mein-landgarten
Mein Lieblingsrezept	de	de	mein-lieblingsrezept
Mein schöner Garten	de	de	mein-schoner-garten-9brn
Mein schöner Landgarten	de	de	mein-schoner-landgarten-9brt
Mein schönes Land	de	de	mein-schones-land-9brq
Mein TV + Ich	de	de	mein-tv-ich
Mein ZauberTopf	de	de	mein-zaubertopf
mein ZauberTopf Special Edition	de	de	mein-zaubertopf-special-edition
Meine Famlie & ich	de	de	meine-famlie-ich-9brg
Meine Gartenwelt	de	de	meine-gartenwelt
Meine gute Landküche	de	de	meine-gute-landkuche-9brs
Meine Melodie	de	de	meine-melodie
Meins	de	de	meins
Mejor Amigo	ar	es	mejor-amigo
Mélange Accessible Journeys	ca	en	melange-accessible-journeys
Melleruds Nyheter	se	sv	melleruds-nyheter
Melodifestivalen - Schlageryra	se	sv	melodifestivalen-schlageryra
Mémento	fr	fr	memento
Men's Club（メンズクラブ）	jp	ja	mens-club
Men's Fitness	gb	en	mens-fitness
Men's Health (Italy)	it	it	men-s-health-italy
Men's Health (Portugal)	pt	pt	mens-health-portugal
Men's Health (Spain)	es	es	mens-health-spain
Men's Health (UK)	gb	en	mens-health-uk
Men's Health treningsguide 2018	no	nb	mens-health-treningsguide-2018
Men's Journal	us	en	mens-journal
MEN'S NON-NO（メンズノンノ）	jp	ja	mens-non-no
MENO	de	de	meno-354j
Menopause Matters	gb	en	menopause-matters
Menorca Diario Insular	es	es	menorca-diario-insular-pr
Mens Health Sommartraning 2018	se	sv	mens-health-sommartraning-2018
Mensagens de Fé	br	pt	mensagens-de-fe
Mente Afiada	br	pt	mente-afiada
Mente Afiada Curiosidades	br	pt	mente-afiada-curiosidades
Mente Afiada Extra	br	pt	mente-afiada-extra
Mente Sana	br	es	mente-sana-879c
Mente Saudável	br	pt	mente-saudavel
Menu Veggie	br	pt	menu-veggie
Meraki Travel Stories	pt	pt	meraki-travel-stories
Merced Sun-Star	us	en	merced-sun-star
Merced Sun-Star (Weekend)	us	en	merced-sun-star-weekend
Merci pour l'info	fr	fr	merci-pour-l-info
Mercury (Hobart)	au	en	mercury-hobart
Merino Review	nz	en	merino-review
Merisota	fi	fi	merisota
Merthyr Express	gb	en	merthyr-express
Mes Finances	fr	fr	mes-finances
Metal Hammer (Spain)	es	es	metal-hammer-spain
Metal Hammer (UK)	gb	en	metal-hammer-uk
Metales & Metalurgia	es	es	metales-metalurgia
Metro (UK)	gb	en	metro-uk
Metro Puerto Rico	pr	es	metro-puerto-rico
Metro Seoul	kr	ko	metro-seoul
Meu Próprio Negócio	br	pt	meu-proprio-negocio
MF DNES	cz	cs	mf-dnes
Mia	ar	es	mia-e449
Mía	es	es	mia-e687
Miami Herald	us	en	miami-herald
Miami Herald (Sunday)	us	en	miami-herald-sunday
Micetalk	in	en	micetalk
Michigan Avenue	us	en	michigan-avenue
Micro Pratique	fr	fr	micro-pratique
Mid Sussex Times	gb	en	mid-sussex-times
Middagstips i vardagen	se	sv	middagstips-i-vardagen
Middle East Business (English)	ps	en	middle-east-business-english
Middle East Business - Special Edition 2023 (Arabic)	ps	ar	middle-east-business-special-edition-2023-arabic
Middle East Business - Special Edition 2023 (English)	ps	en	middle-east-business-special-edition-2023-english
Middle East Business - Women	ps	ar	middle-ease-business-arabic-women
Midi Olympique	fr	fr	midi-olympique
Midi Olympique Magazine	fr	fr	midi-olympique-magazine
Midweek Sport	gb	en	midweek-sport
Midwest Living	us	en	midwest-living
Mieux Réussir Aux Courses	fr	fr	mieux-reussir-aux-courses
Mijn HobbyKaart	nl	nl	mijn-hobbykaart
Milenio	mx	es	milenio
Milenio Edo de México	mx	es	milenio-edo-de-mexico
Milenio Hidalgo	mx	es	milenio-hidalgo
Milenio Jalisco	mx	es	milenio-jalisco
Milenio Laguna	mx	es	milenio-laguna
Milenio León	mx	es	milenio-leon
Milenio Monterrey	mx	es	milenio-monterrey
Milenio Puebla	mx	es	milenio-puebla
Milenio Tamaulipas	mx	es	milenio-tamaulipas
Milestone	sg	en	milestone-mag
Militär Historia	se	sv	militar-historia-sweden
Military Collectables of WWI	gb	en	military-collectables-of-wwi
Military Trader	us	en	military-trader
Military Vehicles	us	en	military-vehicles
Millennium Post	in	en	millennium-post
Millennium Post (Kolkata)	in	en	millennium-post-kolkata
Millennium Post Siliguri	in	en	millennium-post-siliguri
Millionaire (Italy)	it	it	millionaire-italy
Milliyet	tr	tr	milliyet
Milwaukee Journal Sentinel	us	en	milwaukee-journal-sentinel
Milwaukee Magazine	us	en	milwaukee-magazine
Milwaukee Weddings	us	en	milwaukee-weddings
Min Häst	se	sv	min-hast
Mind & Thought Magazine	gb	en	mind-thought-magazine
Mindanao Times	ph	en	mindanao-times
Mindelheimer Zeitung	de	de	mindelheimer-zeitung
MiNDFOOD	au	en	mindfood
MiNDFOOD (New Zealand)	au	en	mindfood-new-zealand-2163
Mindfulness	fi	fi	mindfulness
Mindfulness - Vagen till lycka	no	nb	mindfulness-vagen-till-lycka
Mindfulness - Veien til lykke	no	nb	mindfulness-veien-til-lykke
Mindfulness 2018	se	sv	mindfulness-2018
Minecraft	se	sv	minecraft-sweden
Minecraft boken vol 1	se	sv	minecraft-boken-vol-1
Minecraft Comics	br	pt	minecraft-comics
Minecraft-bogen - Tips og triks	dk	da	minecraft-bogen-tips-og-triks
Minecraft-boken	no	nb	minecraft-boken
Minecraft-Boken Otroliga Byggen	se	sv	minecraft-boken-otroliga-byggen
Minecraft-Boken Tips & Tricks 1	se	sv	minecraft-boken-tips-tricks-1
Minecraft-boken Tips & Triks 4	no	nb	minecraft-boken-tips-triks-4
Minecraft-boken: Nya Tips Och Tricks	se	sv	minecraft-boken-nya-tips-och-tricks
Minecraft-guiden	se	sv	minecraft-guiden
Minecraft: Byer og byggverk	no	nb	minecraft-byer-og-byggverk
Minecraft: Den ultimate guide	no	nb	minecraft-den-ultimate-guide
Minecraftboka Tips Og Triks 3	no	nb	minecraftboka-tips-og-triks-3
Mineworld #3	no	nb	mineworld-3
Mini Puzzle	it	it	mini-puzzle
Miniature Wargames	gb	en	miniature-wargames
Minibooks EdiCase	br	pt	minibooks-edicase-9y5b
MiniMag - The Educational Children's Magazine	za	en	minimag
MiniMag: EasyScience Special Editions	nz	en	minimag-easysciene-special-editions-9jk5
Ministerio de diseno	uy	es	ministerio-de-diseno
Mint Ahmedabad	in	en	mint-ahmedabad
Mint Bangalore	in	en	mint-bangalore
Mint Chennai	in	en	mint-chennai
Mint Delhi	in	en	mint-delhi
Mint Hyderabad	in	en	mint-hyderabad
Mint Kolkata	in	en	mint-kolkata
Mint Mumbai	in	en	mint-mumbai
Mirror Mirror	nl	nl	mirror-mirror
Mission Patrimoine	fr	fr	mission-patrimoine
Mitt i Botkyrka	se	sv	botkyrkadirekt-norra
Mitt i Bromma	se	sv	brommadirekt
Mitt i Danderyd	se	sv	danderyddirekt
Mitt i Göteborg	se	sv	mitt-i-goteborg
Mitt i Haninge	se	sv	mitt-i-haninge
Mitt i Hässelby	se	sv	hasselbydirekt
Mitt i Huddinge	se	sv	huddingedirekt
Mitt i Järfälla	se	sv	jarfalladirekt
Mitt i Järva	se	sv	mitt-i-jarva
Mitt i Kista	se	sv	kistadirekt
Mitt i Kungsholmen	se	sv	kungsholmendirekt
Mitt i Lidingö	se	sv	mitt-i-lidingo
Mitt i Mälarö	se	sv	malarodirekt
Mitt i Nacka	se	sv	mitt-i-nacka
Mitt i Österåker	se	sv	mitt-i-osteraker
Mitt i Östermalm	se	sv	ostermalmdirekt
Mitt i Rinkeby	se	sv	rinkebydirekt
Mitt i Salem	se	sv	mitt-i-salem
Mitt i Sigtuna	se	sv	mitt-i-sigtuna
Mitt i Skarholmen	se	sv	skarholmendirekt
Mitt i Södermalm	se	sv	sodermalmdirekt
Mitt i Söderort, Årsta, Enskede	se	sv	soderortdirekt-arsta-enskede
Mitt i Söderort, Farsta, Sköndal	se	sv	soderortdirekt-farsta-skondal
Mitt i Söderort, Hammarby, Skarpnäck	se	sv	soderortdirekt-hammarby-skarpnack
Mitt i Söderort, Liljeholmen, Älvsjö	se	sv	soderortdirekt-liljeholmen-alvsjo
Mitt i Sollentuna	se	sv	sollentunadirekt
Mitt i Solna	se	sv	solnadirekt
Mitt i Spånga	se	sv	spangadirekt
Mitt i Sundbyberg	se	sv	sundbybergdirekt
Mitt i Täby	se	sv	tabydirekt
Mitt i Tensta	se	sv	tenstadirekt
Mitt i Tyresö	se	sv	mitt-i-tyreso
Mitt i Upplands Väsby	se	sv	viivasbydirekt
Mitt i UpplandsBro	se	sv	balstadirekt
Mitt i Vallentuna	se	sv	vallentunadirekt
Mitt i Vällingby	se	sv	vallingbydirekt
Mitt i Värmdö	se	sv	mitt-i-varmdo
Mitt i Vasastan	se	sv	vasastandirekt
Mitt i Västerort	se	sv	mitt-i-vasterort
Mitt i Vaxholm	se	sv	mitt-i-vaxholm
Mittelschwäbische Nachrichten	de	de	mittelschwaebische-nachrichten
Mixte Magazine	ca	fr	mixte-magazine-9y55
MjamTaart	nl	nl	mjamtaart
Mmegi	bw	en	mmegi
MMM The Motorhomers' Magazine	gb	en	mmm-the-motorhomers-magazine
Moda Moldes	br	pt	moda-moldes
Mode & skönhet	se	sv	mode-skonhet
Model Airplane News	us	en	model-airplane-news
Model Rail (UK)	gb	en	model-rail-uk
Model Railroader	us	en	model-railroader-9yxr
Modèle Magazine	fr	fr	modele-magazine
Modern Cat	ca	en	modern-cat
Modern Dog (Canada)	ca	en	modern-dog-canada
Modern Farmhouse Style	us	en	modern-farmhouse-style
Modern Healthcare	us	en	modern-healthcare
Modern Living（モダンリビング）	jp	ja	modern-living
Modern Psykologi	se	sv	modern-psykologi
Modern Wellness	za	en	modern-wellness
Modes & Travaux	fr	fr	modes-travaux-san2
Modes & Travaux Hors-série	fr	fr	modes-travaux-hs-samz
Mojo (UK)	gb	en	mojo-uk
Mölndals-Posten	se	sv	molndals-posten
Moment Magazine	us	en	moment-magazine-9wdq
Mon Jardin & Ma Maison	fr	fr	mon-jardin-ma-maison
Mon Jardin & Ma Maison Hors-série	fr	fr	mon-jardin-ma-maison-hs
Mon petit Science & Vie	fr	fr	mon-petit-science-vie-22cn
Mon Quotidien	fr	fr	mon-quotidien
Monaco Today	mc	en	monaco-today
Monaco-Matin	mc	fr	monaco-matin
Monde Gourmand	fr	fr	monde-gourmand
Money in Focus	us	en	money-in-focus
Money Magazine Australia	au	en	money-magazine-australia
Money Week	gb	en	money-week
Montagnes	fr	fr	montagnes
Montagnes Hors-série	fr	fr	montagnes-hors-serie
Monterey Herald	us	en	monterey-herald
MONTRE HEROES	fr	fr	montre-heroes
Montreal Gazette	ca	en	montreal-gazette
Moose Jaw Express.com	ca	en	moose-jaw-express-com
Mopar Action	us	en	mopar-action
Mord & Mysterier	se	sv	mord-mysterier
Mordmysterier (Norway)	no	nb	mordmysterier-norway
Mordmysterier (Sweden)	se	sv	mordmysterier
More of Our Canada	ca	en	more-of-our-canada
MoreBikes	gb	en	motorcycle-monthly
Morgan County CItizen	us	en	morgan-county-citizen
Morning Star	gb	en	morning-star
Morning Sun	us	en	morning-sun
Moses	us	en	moses
Mosman Daily	au	en	mosman-daily
Mossel Bay Advertiser	za	af	mossel-bay-advertiser
Most Awarded	lk	en	most-awarded
Most Respected	lk	en	most-respected
Moteur Boat Magazine	fr	fr	moteur-boat-magazine
Mother Earth News - Grow Your Own Food	us	en	mother-earth-news-grow-your-own-food
Mother's Life	tr	tr	mother-s-life
Motivi all'Uncinetto	it	it	motivi-all-uncinetto
Motivi all'Uncinetto Gomitolo	it	it	motivi-all-uncinetto-gomitolo
Motivi all'Uncinetto Manuale	it	it	motivi-all-uncinetto-manuale
Motivi all'Uncinetto Speciale	it	it	motivi-all-uncinetto-speciale
Moto Adventure	br	pt	moto-adventure-9yzg
MOTO HEROES	fr	fr	moto-heroes
Moto Journal	fr	fr	moto-journal
Moto Premium	br	pt	moto-premium
Moto Revue	fr	fr	moto-revue
Moto Revue Classic	fr	fr	moto-revue-classic
Moto Tours	it	it	moto-tours
Moto Verde	es	es	moto-verde
Moto Verte	fr	fr	moto-verte
Motociclismo	br	pt	motociclismo-9ywl
MOTOCICLISMO	es	es	motociclismo
Motor Boat & Yachting (Turkey)	tr	tr	motor-boat-yachting-turkey
Motor Clásico	es	es	motor-clasico
Motor Equipment News	nz	en	motor-equipment-news
Motorboat & Yachting	gb	en	motorboat-yachting
Motorcycle Sport & Leisure	gb	en	motorcycle-sport-leisure
Motores Elite	cr	es	motores-elite
Motorhomes Caravans & Destinations	nz	en	motorhomes-caravans-destinations
Motorrad	it	it	motorrad
Motorshow	br	pt	motorshow
Motorsport Monday	gb	en	motorsport-monday
Motorsport News	gb	en	motorsport-news
